from_group,from_arti,整体包名,to_group,to_arti,被依赖的整体包名
org.codehaus.plexus,plexus-compiler,org.codehaus.plexus.plexus-compiler,junit,junit,junit.junit
org.codehaus.plexus,plexus-compiler,org.codehaus.plexus.plexus-compiler,org.codehaus.plexus,plexus-compiler-test,org.codehaus.plexus.plexus-compiler-test
org.codehaus.plexus,plexus-compiler,org.codehaus.plexus.plexus-compiler,org.codehaus.plexus,plexus-compiler-api,org.codehaus.plexus.plexus-compiler-api
org.springframework,spring-oxm,org.springframework.spring-oxm,com.thoughtworks.xstream,xstream,com.thoughtworks.xstream.xstream
org.springframework,spring-oxm,org.springframework.spring-oxm,org.springframework,spring-core,org.springframework.spring-core
org.springframework,spring-oxm,org.springframework.spring-oxm,org.springframework,spring-beans,org.springframework.spring-beans
org.springframework,spring-oxm,org.springframework.spring-oxm,org.jibx,jibx-run,org.jibx.jibx-run
org.springframework,spring-oxm,org.springframework.spring-oxm,org.apache.xmlbeans,xmlbeans,org.apache.xmlbeans.xmlbeans
org.springframework,spring-oxm,org.springframework.spring-oxm,org.codehaus.castor,castor-xml,org.codehaus.castor.castor-xml
org.aspectj,aspectjweaver,org.aspectj.aspectjweaver,,,
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.hibernate.javax.persistence,hibernate-jpa-2.1-api,org.hibernate.javax.persistence.hibernate-jpa-2.1-api
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.logging,jboss-logging-annotations,org.jboss.logging.jboss-logging-annotations
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.logging,jboss-logging,org.jboss.logging.jboss-logging
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.javassist,javassist,org.javassist.javassist
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.hibernate,hibernate-core,org.hibernate.hibernate-core
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,dom4j,dom4j,dom4j.dom4j
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.hibernate.common,hibernate-commons-annotations,org.hibernate.common.hibernate-commons-annotations
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.spec.javax.transaction,jboss-transaction-api_1.2_spec,org.jboss.spec.javax.transaction.jboss-transaction-api_1.2_spec
org.apache.maven.surefire,surefire-providers,org.apache.maven.surefire.surefire-providers,org.apache.maven,maven-artifact,org.apache.maven.maven-artifact
org.apache.maven.surefire,surefire-providers,org.apache.maven.surefire.surefire-providers,org.apache.maven.surefire,surefire-testng-utils,org.apache.maven.surefire.surefire-testng-utils
org.apache.maven.surefire,surefire-providers,org.apache.maven.surefire.surefire-providers,junit,junit,junit.junit
org.apache.maven.surefire,surefire-providers,org.apache.maven.surefire.surefire-providers,org.testng,testng,org.testng.testng
org.eclipse.jetty.websocket,websocket-parent,org.eclipse.jetty.websocket.websocket-parent,org.eclipse.jetty.websocket,websocket-common,org.eclipse.jetty.websocket.websocket-common
org.eclipse.jetty.websocket,websocket-parent,org.eclipse.jetty.websocket.websocket-parent,org.eclipse.jetty,jetty-io,org.eclipse.jetty.jetty-io
org.eclipse.jetty.websocket,websocket-parent,org.eclipse.jetty.websocket.websocket-parent,org.eclipse.jetty,jetty-util,org.eclipse.jetty.jetty-util
org.eclipse.jetty.websocket,websocket-parent,org.eclipse.jetty.websocket.websocket-parent,org.eclipse.jetty,jetty-client,org.eclipse.jetty.jetty-client
org.eclipse.jetty.websocket,websocket-parent,org.eclipse.jetty.websocket.websocket-parent,org.eclipse.jetty.toolchain,jetty-test-helper,org.eclipse.jetty.toolchain.jetty-test-helper
org.apache.hadoop,hadoop-mapreduce-client,org.apache.hadoop.hadoop-mapreduce-client,org.apache.hadoop,hadoop-yarn-client,org.apache.hadoop.hadoop-yarn-client
org.apache.hadoop,hadoop-mapreduce-client,org.apache.hadoop.hadoop-mapreduce-client,org.apache.hadoop,hadoop-yarn-server-common,org.apache.hadoop.hadoop-yarn-server-common
org.apache.hadoop,hadoop-mapreduce-client,org.apache.hadoop.hadoop-mapreduce-client,org.apache.hadoop,hadoop-yarn-common,org.apache.hadoop.hadoop-yarn-common
org.apache.hadoop,hadoop-mapreduce-client,org.apache.hadoop.hadoop-mapreduce-client,org.apache.hadoop,hadoop-mapreduce-client-core,org.apache.hadoop.hadoop-mapreduce-client-core
junit,junit,junit.junit,,,
net.java,jvnet-parent,net.java.jvnet-parent,junit,junit,junit.junit
net.java,jvnet-parent,net.java.jvnet-parent,org.apache.maven.surefire,surefire-junit47,org.apache.maven.surefire.surefire-junit47
org.codehaus.groovy,groovy,org.codehaus.groovy.groovy,com.thoughtworks.xstream,xstream,com.thoughtworks.xstream.xstream
org.codehaus.groovy,groovy,org.codehaus.groovy.groovy,org.codehaus.gpars,gpars,org.codehaus.gpars.gpars
org.codehaus.groovy,groovy,org.codehaus.groovy.groovy,org.apache.ivy,ivy,org.apache.ivy.ivy
org.codehaus.groovy,groovy,org.codehaus.groovy.groovy,org.apache.ant,ant,org.apache.ant.ant
org.codehaus.groovy,groovy,org.codehaus.groovy.groovy,org.fusesource.jansi,jansi,org.fusesource.jansi.jansi
org.codehaus.groovy,groovy,org.codehaus.groovy.groovy,info.picocli,picocli,info.picocli.picocli
com.fasterxml.jackson.module,jackson-modules-java8,com.fasterxml.jackson.module.jackson-modules-java8,org.assertj,assertj-core,org.assertj.assertj-core
com.fasterxml.jackson.module,jackson-modules-java8,com.fasterxml.jackson.module.jackson-modules-java8,org.mockito,mockito-core,org.mockito.mockito-core
org.slf4j,slf4j-parent,org.slf4j.slf4j-parent,log4j,log4j,log4j.log4j
org.slf4j,slf4j-parent,org.slf4j.slf4j-parent,org.slf4j,slf4j-api,org.slf4j.slf4j-api
org.apache.ant,ant-parent,org.apache.ant.ant-parent,junit,junit,junit.junit
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,ognl,ognl,ognl.ognl
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,org.springframework,spring-test,org.springframework.spring-test
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,org.easymock,easymock,org.easymock.easymock
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,org.apache.velocity,velocity,org.apache.velocity.velocity
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,mockobjects,mockobjects-core,mockobjects.mockobjects-core
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,commons-fileupload,commons-fileupload,commons-fileupload.commons-fileupload
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,mockobjects,mockobjects-jdk1.3,mockobjects.mockobjects-jdk1.3
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,javax.servlet,servlet-api,javax.servlet.servlet-api
org.apache.struts,struts2-parent,org.apache.struts.struts2-parent,org.apache.velocity,velocity-tools,org.apache.velocity.velocity-tools
